task	round_prev_idx	round_idx	round_no_in_episode	episode_rounds	phase	risk_class	prev_outcome	prev_valid_findings	outcome	valid_findings	severities	changed_since_prev	commit_prev	commit_this	window_start	window_end	status	exclusion_reason	n_commits	commits	lines_added	lines_deleted	subst_added	subst_deleted	files_touched	code_files	doc_files	code_noncomment_added	comment_added	doc_added	new_tokens	shape3	shape2	token_shape	subst_added_excl_prev	subst_deleted_excl_prev	shape3_excl_prev	shared_commits	window_overlaps_other_episode	artifact_risk_class	artifact_total_rounds	shape_corrected
uniform-isolation	145	146	2	3	work_review	risky	new_valid	2	clean	0		True	59ef33bad	59ef33bad	2026-07-23T11:13:40+01:00	2026-07-23T11:13:40+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
uniform-isolation	146	147	3	3	work_review	risky	clean	0	clean	0		False	59ef33bad	59ef33bad	2026-07-23T11:13:40+01:00	2026-07-23T11:13:40+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
triager-runs-only-on-findings	156	157	2	2	work_review	low_risk	new_valid	1	clean	0		True	272e9eb56	272e9eb56	2026-07-23T14:15:22+01:00	2026-07-23T14:15:22+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
q64-q65-fold	160	161	2	2	plan_review	low_risk	new_valid	1	clean	0		True	e5d568760	e5d568760	2026-07-23T16:26:45+01:00	2026-07-23T16:26:45+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
agents-md-drift-guard	162	163	2	4	work_review	risky	new_valid	2	new_valid	2	medium;low	True	53a367e4b	53a367e4b	2026-07-23T17:54:39+01:00	2026-07-23T17:54:39+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
agents-md-drift-guard	163	164	3	4	work_review	risky	new_valid	2	clean	1	low	True	53a367e4b	53a367e4b	2026-07-23T17:54:39+01:00	2026-07-23T17:54:39+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
agents-md-drift-guard	164	165	4	4	work_review	risky	clean	1	clean	0		False	53a367e4b	53a367e4b	2026-07-23T17:54:39+01:00	2026-07-23T17:54:39+01:00	excluded	shared_recording_commit	0																			0	no	risky	4	
principle-by-name-projection	166	167	2	2	work_review	risky	clean	1	clean	0		False	80ebdcde2	80ebdcde2	2026-07-23T18:24:23+01:00	2026-07-23T18:24:23+01:00	excluded	shared_recording_commit	0																			0	no	risky	2	
driver-isolation-reminder-scope	168	169	2	2	work_review	low_risk	new_valid	5	clean	0		False	540b225eb	540b225eb	2026-07-23T23:20:01+01:00	2026-07-23T23:20:01+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
single-source-recommendation-rule	170	171	2	3	work_review	risky	new_valid	2	clean	0		True	a301f959c	a301f959c	2026-07-24T01:21:02+01:00	2026-07-24T01:21:02+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
single-source-recommendation-rule	171	172	3	3	work_review	risky	clean	0	clean	0		False	a301f959c	a301f959c	2026-07-24T01:21:02+01:00	2026-07-24T01:21:02+01:00	excluded	shared_recording_commit	0																			0	no	risky	3	
code-value-audit-static-inc1	174	175	2	3	work_review	low_risk	new_valid	5	new_valid	1	low	True	5bb09c87e	5bb09c87e	2026-07-26T14:42:33+01:00	2026-07-26T14:42:33+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	3	
code-value-audit-static-inc1	175	176	3	3	work_review	low_risk	new_valid	1	clean	0		True	5bb09c87e	5bb09c87e	2026-07-26T14:42:33+01:00	2026-07-26T14:42:33+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	3	
code-value-audit-static-inc2	177	178	2	2	work_review	low_risk	new_valid	7	clean	0		True	dd3fd5d82	dd3fd5d82	2026-07-26T15:56:27+01:00	2026-07-26T15:56:27+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
q66-q67-fold	179	180	2	2	plan_review	low_risk	new_valid	4	clean	0		True	0c1d7a91a	0c1d7a91a	2026-07-26T16:57:58+01:00	2026-07-26T16:57:58+01:00	excluded	shared_recording_commit	0																			0	no	low_risk	2	
reviewer-reproducible-evidence-inc1	181	182	2	2	work_review	risky	clean	1	clean	0		False	f5db9e240	f5db9e240	2026-07-26T17:29:44+01:00	2026-07-26T17:29:44+01:00	excluded	shared_recording_commit	0																			0	no	risky	2	
decision-folder-currency-fold	184	185	2	5	plan_review	low_risk	new_valid	6	new_valid	7	high;medium;low;low;low;low;low	True	caeee2ba7	e66d11a04	2026-07-27T12:02:49+01:00	2026-07-28T07:52:38+01:00	included		1	5fcd020db	194	23	130	23	5	1	4	31	0	99	7408	mixed	authoring	new_tokens	130	23	mixed	0	no	low_risk	5	authoring
decision-folder-currency-fold	185	186	3	5	plan_review	low_risk	new_valid	7	new_valid	5	medium;low;low;low;low	True	e66d11a04	30c81eec5	2026-07-28T07:52:38+01:00	2026-07-28T08:29:46+01:00	included		1	d39964f29	39	23	31	23	4	1	3	10	0	21	2278	mixed	authoring	new_tokens	31	23	mixed	0	no	low_risk	5	authoring
decision-folder-currency-fold	186	187	4	5	plan_review	low_risk	new_valid	5	new_valid	7	medium;low;low;low;low;low;low	True	30c81eec5	7707df253	2026-07-28T08:29:46+01:00	2026-07-28T09:16:29+01:00	included		1	8811ad131	24	93	24	66	4	1	3	9	0	15	815	mixed	authoring	new_tokens	24	66	mixed	0	no	low_risk	5	authoring
decision-folder-currency-fold	187	188	5	5	plan_review	low_risk	new_valid	7	clean	1	low	True	7707df253	2c59c34ed	2026-07-28T09:16:29+01:00	2026-07-28T09:47:22+01:00	included		1	647f87be7	32	16	28	16	4	1	3	1	0	27	858	mixed	authoring	new_tokens	28	16	mixed	0	no	low_risk	5	authoring
prompt-drift-guard-inc1	189	190	2	6	work_review	risky	new_valid	4	new_valid	3	low;low;low	True	bb09f2ce8	9f0966c3f	2026-07-28T11:15:26+01:00	2026-07-28T12:13:59+01:00	included		1	2242181a7	61	14	57	14	1	1	0	0	57	0	575	mixed	authoring	new_tokens	57	14	mixed	0	no	risky	6	authoring
prompt-drift-guard-inc1	190	192	3	6	work_review	risky	new_valid	3	new_valid	5	low;low;low;low;low	True	9f0966c3f	149d41548	2026-07-28T12:13:59+01:00	2026-07-28T13:17:17+01:00	included		3	93c584c8a,c44d8d1be,2f6e8c9c0	386	199	296	196	4	2	2	9	161	126	6683	mixed	authoring	new_tokens	296	196	mixed	1	yes	risky	6	authoring
checks-runner-worktree-name-collision	191	193	2	4	plan_review	low_risk	new_valid	5	new_valid	3	low;low;low	True	a4f4c9557	0ad43f008	2026-07-28T12:59:08+01:00	2026-07-28T13:29:51+01:00	included		1	2f6e8c9c0	28	18	24	18	2	0	2	0	0	24	1862	mixed	authoring	new_tokens	24	18	mixed	1	yes	low_risk	4	authoring
