loop_id	task	phase	increment	round_k_lineno	round_k1_lineno	commit_k	commit_k1	method	status	round_k1_outcome	round_k1_changed_since_prev	round_k1_valid_findings	round_k_risk_class	round_k1_risk_class	added_lines_raw	deleted_lines	added_nontrivial	files_touched	shape	note
human-review-queue|work_review|None#1	human-review-queue	work_review		26	27	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
no-wrap-convention|work_review|None#1	no-wrap-convention	work_review		28	29	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	risky	risky						recording commit identical for round K and round K+1
no-wrap-convention|work_review|None#1	no-wrap-convention	work_review		29	30	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	False	0	risky	risky						recording commit identical for round K and round K+1
findings-files|work_review|None#1	findings-files	work_review		31	32	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
ledger-template|work_review|None#1	ledger-template	work_review		33	34	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
instrument-flag|work_review|None#1	instrument-flag	work_review		35	36	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
state-schema-inc1|work_review|None#1	state-schema-inc1	work_review		37	38	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
state-schema-inc2|work_review|None#1	state-schema-inc2	work_review		39	40	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	new_valid	True	1	low_risk	low_risk						recording commit identical for round K and round K+1
state-schema-inc2|work_review|None#1	state-schema-inc2	work_review		40	41	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	new_valid	True	1	low_risk	low_risk						recording commit identical for round K and round K+1
state-schema-inc2|work_review|None#1	state-schema-inc2	work_review		41	42	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
state-schema-inc3|work_review|None#1	state-schema-inc3	work_review		43	44	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
optional-modules-inc1|work_review|None#1	optional-modules-inc1	work_review		45	46	1824e7d87226fa288bd1f10ff809cb0670c397b3	1824e7d87226fa288bd1f10ff809cb0670c397b3	primary_window	excluded_backfill_rewrite_cluster	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
metrics-fields|work_review|None#1	metrics-fields	work_review		47	48	11595d75d8bb98fd9802e30f0e44e3cbbc14913c	11595d75d8bb98fd9802e30f0e44e3cbbc14913c	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
exploration-mode|work_review|None#1	exploration-mode	work_review		49	50	debb4f9baf25dde15faa328a293965b95333ec0d	debb4f9baf25dde15faa328a293965b95333ec0d	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
session-preflight|work_review|None#1	session-preflight	work_review		51	52	ed2504678b99029a5f9facb85ed357da95eeffdd	ed2504678b99029a5f9facb85ed357da95eeffdd	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
round-log-core-incA|work_review|None#1	round-log-core-incA	work_review		53	54	6f38a04c9d6577b9fd306b6f33635ebafab14f87	6f38a04c9d6577b9fd306b6f33635ebafab14f87	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
round-log-core-incB|work_review|None#1	round-log-core-incB	work_review		55	56	8b7ce6d17787c1e02830aa0298ac4791a685263f	8b7ce6d17787c1e02830aa0298ac4791a685263f	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
round-log-core-incB|work_review|None#1	round-log-core-incB	work_review		56	57	8b7ce6d17787c1e02830aa0298ac4791a685263f	8b7ce6d17787c1e02830aa0298ac4791a685263f	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
plan-fold|plan_review|None#1	plan-fold	plan_review		58	59	952445bdff137ede15154a64be1396eddc243e9a	952445bdff137ede15154a64be1396eddc243e9a	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
workflow-invariants|work_review|None#1	workflow-invariants	work_review		60	61	abdb7029257290c664c37fef367065d19430633e	abdb7029257290c664c37fef367065d19430633e	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
workflow-invariants|work_review|None#1	workflow-invariants	work_review		61	62	abdb7029257290c664c37fef367065d19430633e	abdb7029257290c664c37fef367065d19430633e	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
review-mode|work_review|None#1	review-mode	work_review		63	64	f24b2a19e51c32d10f5eb778389e8c7cae32e8be	f24b2a19e51c32d10f5eb778389e8c7cae32e8be	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
reviewer-diversity|work_review|None#1	reviewer-diversity	work_review		65	66	9efcb910be0bda7b594d7b82ded8529f71bebecd	9efcb910be0bda7b594d7b82ded8529f71bebecd	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
reviewer-harness-field|work_review|None#1	reviewer-harness-field	work_review		67	68	7fe67908150e21538f7aa5b379f181a54d338715	7fe67908150e21538f7aa5b379f181a54d338715	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
optional-modules-inc2a|work_review|None#1	optional-modules-inc2a	work_review		69	70	1eee03fd50856f672a4b1ddc233ec41ee348967e	1eee03fd50856f672a4b1ddc233ec41ee348967e	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
optional-modules-inc2b|work_review|None#1	optional-modules-inc2b	work_review		71	72	ca43a66a6bebc8591337cd57cc09a6e0d4590d31	ca43a66a6bebc8591337cd57cc09a6e0d4590d31	primary_window	excluded_co_recorded	new_valid	True	1	low_risk	low_risk						recording commit identical for round K and round K+1
optional-modules-inc2b|work_review|None#1	optional-modules-inc2b	work_review		72	73	ca43a66a6bebc8591337cd57cc09a6e0d4590d31	ca43a66a6bebc8591337cd57cc09a6e0d4590d31	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
optional-modules-inc2ci|work_review|None#1	optional-modules-inc2ci	work_review		74	75	67ba852816369fbda8ff9e121dc86bd287143449	67ba852816369fbda8ff9e121dc86bd287143449	primary_window	excluded_co_recorded	new_valid	True	1	risky	risky						recording commit identical for round K and round K+1
optional-modules-inc2ci|work_review|None#1	optional-modules-inc2ci	work_review		75	76	67ba852816369fbda8ff9e121dc86bd287143449	67ba852816369fbda8ff9e121dc86bd287143449	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
optional-modules-inc2ci|work_review|None#1	optional-modules-inc2ci	work_review		76	77	67ba852816369fbda8ff9e121dc86bd287143449	67ba852816369fbda8ff9e121dc86bd287143449	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
optional-modules-inc2cii|work_review|None#1	optional-modules-inc2cii	work_review		78	79	0af1bcbe3d0ca89e6beae949b423daee5fd04359	0af1bcbe3d0ca89e6beae949b423daee5fd04359	primary_window	excluded_co_recorded	new_valid	True	2	risky	risky						recording commit identical for round K and round K+1
optional-modules-inc2cii|work_review|None#1	optional-modules-inc2cii	work_review		79	80	0af1bcbe3d0ca89e6beae949b423daee5fd04359	0af1bcbe3d0ca89e6beae949b423daee5fd04359	primary_window	excluded_co_recorded	new_valid	True	1	risky	risky						recording commit identical for round K and round K+1
optional-modules-inc2cii|work_review|None#1	optional-modules-inc2cii	work_review		80	81	0af1bcbe3d0ca89e6beae949b423daee5fd04359	0af1bcbe3d0ca89e6beae949b423daee5fd04359	primary_window	excluded_co_recorded	new_valid	True	1	risky	risky						recording commit identical for round K and round K+1
optional-modules-inc2cii|work_review|None#1	optional-modules-inc2cii	work_review		81	83	0af1bcbe3d0ca89e6beae949b423daee5fd04359	0af1bcbe3d0ca89e6beae949b423daee5fd04359	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
decision-receipt|work_review|None#1	decision-receipt	work_review		86	87	9fa5eaabaec3b9ed784858545f774cad5e3f5aac	9fa5eaabaec3b9ed784858545f774cad5e3f5aac	primary_window	excluded_co_recorded	new_valid	True	2	risky	risky						recording commit identical for round K and round K+1
decision-receipt|work_review|None#1	decision-receipt	work_review		87	88	9fa5eaabaec3b9ed784858545f774cad5e3f5aac	9fa5eaabaec3b9ed784858545f774cad5e3f5aac	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
decision-receipt|work_review|None#1	decision-receipt	work_review		88	89	9fa5eaabaec3b9ed784858545f774cad5e3f5aac	9fa5eaabaec3b9ed784858545f774cad5e3f5aac	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
waiver-model|work_review|None#1	waiver-model	work_review		90	91	f42b36cb2d6f92678739438f0d7af9593a7167f0	f42b36cb2d6f92678739438f0d7af9593a7167f0	primary_window	excluded_co_recorded	new_valid	True	2	risky	risky						recording commit identical for round K and round K+1
waiver-model|work_review|None#1	waiver-model	work_review		91	92	f42b36cb2d6f92678739438f0d7af9593a7167f0	f42b36cb2d6f92678739438f0d7af9593a7167f0	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
waiver-model|work_review|None#1	waiver-model	work_review		92	93	f42b36cb2d6f92678739438f0d7af9593a7167f0	f42b36cb2d6f92678739438f0d7af9593a7167f0	primary_window	excluded_co_recorded	new_valid	False	1	risky	risky						recording commit identical for round K and round K+1
waiver-model|work_review|None#1	waiver-model	work_review		93	94	f42b36cb2d6f92678739438f0d7af9593a7167f0	f42b36cb2d6f92678739438f0d7af9593a7167f0	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
structured-skeleton|plan_review|None#1	structured-skeleton	plan_review		98	99	5175c3b39d368ce03399002be7fb84c9b7c66e68	5175c3b39d368ce03399002be7fb84c9b7c66e68	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
structured-skeleton-inc2|work_review|structured-skeleton-inc2#1	structured-skeleton-inc2	work_review	structured-skeleton-inc2	100	101	8d9896721cd50d18a62c78f84357d1faab2ed5da	8d9896721cd50d18a62c78f84357d1faab2ed5da	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
structured-skeleton-inc1|work_review|structured-skeleton-inc1#1	structured-skeleton-inc1	work_review	structured-skeleton-inc1	102	103	9afe5677488fc37f2d7b23450409112b6904039f	9afe5677488fc37f2d7b23450409112b6904039f	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
structured-skeleton-inc3|work_review|structured-skeleton-inc3#1	structured-skeleton-inc3	work_review	structured-skeleton-inc3	104	105	3f29a81a36cec405a7b998ad45dac2892e6d3d41	3f29a81a36cec405a7b998ad45dac2892e6d3d41	primary_window	excluded_co_recorded	new_valid	True	4	risky	risky						recording commit identical for round K and round K+1
structured-skeleton-inc3|work_review|structured-skeleton-inc3#1	structured-skeleton-inc3	work_review	structured-skeleton-inc3	105	106	3f29a81a36cec405a7b998ad45dac2892e6d3d41	3f29a81a36cec405a7b998ad45dac2892e6d3d41	primary_window	excluded_co_recorded	new_valid	True	1	risky	risky						recording commit identical for round K and round K+1
structured-skeleton-inc3|work_review|structured-skeleton-inc3#1	structured-skeleton-inc3	work_review	structured-skeleton-inc3	106	107	3f29a81a36cec405a7b998ad45dac2892e6d3d41	3f29a81a36cec405a7b998ad45dac2892e6d3d41	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
structured-skeleton-inc3|work_review|structured-skeleton-inc3#1	structured-skeleton-inc3	work_review	structured-skeleton-inc3	107	108	3f29a81a36cec405a7b998ad45dac2892e6d3d41	3f29a81a36cec405a7b998ad45dac2892e6d3d41	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
structured-skeleton-inc4|work_review|structured-skeleton-inc4#1	structured-skeleton-inc4	work_review	structured-skeleton-inc4	109	110	707532a305df55750f3d60c7ce49aa49606faacb	707532a305df55750f3d60c7ce49aa49606faacb	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
structured-skeleton-inc4|work_review|structured-skeleton-inc4#1	structured-skeleton-inc4	work_review	structured-skeleton-inc4	110	111	707532a305df55750f3d60c7ce49aa49606faacb	707532a305df55750f3d60c7ce49aa49606faacb	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
structured-skeleton-inc5|work_review|structured-skeleton-inc5#1	structured-skeleton-inc5	work_review	structured-skeleton-inc5	112	113	7005e8477239ed94d6a6128452d3f3ad0f6de5a2	7005e8477239ed94d6a6128452d3f3ad0f6de5a2	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
workflow-driver|work_review|workflow-driver-stage0a#1	workflow-driver	work_review	workflow-driver-stage0a	127	128	8039904ee88d29fc4e067afad57b1e33a11ad441	8039904ee88d29fc4e067afad57b1e33a11ad441	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
workflow-driver|work_review|workflow-driver-stage0a#1	workflow-driver	work_review	workflow-driver-stage0a	128	129	8039904ee88d29fc4e067afad57b1e33a11ad441	8039904ee88d29fc4e067afad57b1e33a11ad441	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
workflow-driver|work_review|workflow-driver-stage0b#1	workflow-driver	work_review	workflow-driver-stage0b	130	131	e3f44a0cdb5c3aa45e60cf688f2046767c5f0b80	e3f44a0cdb5c3aa45e60cf688f2046767c5f0b80	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
human-input-gate-reinforce|work_review|None#1	human-input-gate-reinforce	work_review		133	134	ab5b0c5e5c132f85e4899363d668a514b32cc8ca	ab5b0c5e5c132f85e4899363d668a514b32cc8ca	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
backlog-promotion|plan_review|None#1	backlog-promotion	plan_review		144	145	c9d4e563ce1e9166719b052edf06ccb86744948e	c9d4e563ce1e9166719b052edf06ccb86744948e	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
plan-fold|plan_review|None#2	plan-fold	plan_review		146	147	d173cd11a350f4b11436490f6e168db90ec0b8cf	d173cd11a350f4b11436490f6e168db90ec0b8cf	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
uniform-isolation|work_review|uniform-agent-isolation-inc1#1	uniform-isolation	work_review	uniform-agent-isolation-inc1	160	161	59ef33bad50b6712afcb08d333e6291f5df7713b	59ef33bad50b6712afcb08d333e6291f5df7713b	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
uniform-isolation|work_review|uniform-agent-isolation-inc1#1	uniform-isolation	work_review	uniform-agent-isolation-inc1	161	162	59ef33bad50b6712afcb08d333e6291f5df7713b	59ef33bad50b6712afcb08d333e6291f5df7713b	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
triager-runs-only-on-findings|work_review|triager-runs-only-on-findings-inc1#1	triager-runs-only-on-findings	work_review	triager-runs-only-on-findings-inc1	175	176	272e9eb56e1c21df144e2f5cc1b49c1839e84ed9	272e9eb56e1c21df144e2f5cc1b49c1839e84ed9	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
q64-q65-fold|plan_review|None#1	q64-q65-fold	plan_review		181	182	e5d568760c51636bdd16c3d78ef3015238f7da20	e5d568760c51636bdd16c3d78ef3015238f7da20	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
agents-md-drift-guard|work_review|agents-md-drift-guard-inc1#1	agents-md-drift-guard	work_review	agents-md-drift-guard-inc1	183	184	53a367e4b6ae2cd6e886e3d0473c8db121c6accd	53a367e4b6ae2cd6e886e3d0473c8db121c6accd	primary_window	excluded_co_recorded	new_valid	True	2	risky	risky						recording commit identical for round K and round K+1
agents-md-drift-guard|work_review|agents-md-drift-guard-inc1#1	agents-md-drift-guard	work_review	agents-md-drift-guard-inc1	184	185	53a367e4b6ae2cd6e886e3d0473c8db121c6accd	53a367e4b6ae2cd6e886e3d0473c8db121c6accd	primary_window	excluded_co_recorded	clean	True	1	risky	risky						recording commit identical for round K and round K+1
agents-md-drift-guard|work_review|agents-md-drift-guard-inc1#1	agents-md-drift-guard	work_review	agents-md-drift-guard-inc1	185	186	53a367e4b6ae2cd6e886e3d0473c8db121c6accd	53a367e4b6ae2cd6e886e3d0473c8db121c6accd	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
principle-by-name-projection|work_review|principle-by-name-projection-inc1#1	principle-by-name-projection	work_review	principle-by-name-projection-inc1	187	188	80ebdcde24052d7b0cee26066213ea13e7bf9c1a	80ebdcde24052d7b0cee26066213ea13e7bf9c1a	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
driver-isolation-reminder-scope|work_review|driver-isolation-reminder-scope-inc1#1	driver-isolation-reminder-scope	work_review	driver-isolation-reminder-scope-inc1	189	190	540b225eb29c833be530058d711bad7054bf3eb5	540b225eb29c833be530058d711bad7054bf3eb5	primary_window	excluded_co_recorded	clean	False	0	low_risk	low_risk						recording commit identical for round K and round K+1
single-source-recommendation-rule|work_review|single-source-recommendation-rule-inc1#1	single-source-recommendation-rule	work_review	single-source-recommendation-rule-inc1	191	192	a301f959cc44d104f63bfe30ef77bf1aa85161ae	a301f959cc44d104f63bfe30ef77bf1aa85161ae	primary_window	excluded_co_recorded	clean	True	0	risky	risky						recording commit identical for round K and round K+1
single-source-recommendation-rule|work_review|single-source-recommendation-rule-inc1#1	single-source-recommendation-rule	work_review	single-source-recommendation-rule-inc1	192	193	a301f959cc44d104f63bfe30ef77bf1aa85161ae	a301f959cc44d104f63bfe30ef77bf1aa85161ae	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
code-value-audit-static-inc1|work_review|code-value-audit-static-inc1#1	code-value-audit-static-inc1	work_review	code-value-audit-static-inc1	198	199	5bb09c87eb697b6db212b428ffbd4262a96615d5	5bb09c87eb697b6db212b428ffbd4262a96615d5	primary_window	excluded_co_recorded	new_valid	True	1	low_risk	low_risk						recording commit identical for round K and round K+1
code-value-audit-static-inc1|work_review|code-value-audit-static-inc1#1	code-value-audit-static-inc1	work_review	code-value-audit-static-inc1	199	200	5bb09c87eb697b6db212b428ffbd4262a96615d5	5bb09c87eb697b6db212b428ffbd4262a96615d5	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
code-value-audit-static-inc2|work_review|code-value-audit-static-inc2#1	code-value-audit-static-inc2	work_review	code-value-audit-static-inc2	201	202	dd3fd5d823ce243a00f3fdfd80e9eee2082375e8	dd3fd5d823ce243a00f3fdfd80e9eee2082375e8	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
q66-q67-fold|plan_review|None#1	q66-q67-fold	plan_review		205	206	0c1d7a91a011921452eba3a6995fa6ce5daf578d	0c1d7a91a011921452eba3a6995fa6ce5daf578d	primary_window	excluded_co_recorded	clean	True	0	low_risk	low_risk						recording commit identical for round K and round K+1
reviewer-reproducible-evidence-inc1|work_review|reviewer-reproducible-evidence-inc1#1	reviewer-reproducible-evidence-inc1	work_review	reviewer-reproducible-evidence-inc1	207	208	f5db9e2408d1c58ee2de3ffd9b35f424c6212801	f5db9e2408d1c58ee2de3ffd9b35f424c6212801	primary_window	excluded_co_recorded	clean	False	0	risky	risky						recording commit identical for round K and round K+1
optional-modules-inc3|work_review|None#1	optional-modules-inc3	work_review		84	85	424fd919056c163213c0aee2e89b65bf177d4e6d	da19979de667e934f5d84fc32cc84542986b2ffe	primary_window	resolved	clean	True	0	low_risk	low_risk	85	1	64	5	MIXED	
structured-skeleton|work_review|structured-skeleton-inc6#1	structured-skeleton	work_review	structured-skeleton-inc6	117	118	e06a89b9200650848e01b919277e541ff3321e0e	cdda485d0da9b41bbd128582d3f38d5b63eb83e3	primary_window	unresolved_empty_window	clean	True	0	risky	risky	0	0	0	0		fix expected (changed_since_prev=true) but window diff is empty: real fix landed outside [round K commit, round K+1 commit]
structured-skeleton|work_review|structured-skeleton-inc6#1	structured-skeleton	work_review	structured-skeleton-inc6	118	119	cdda485d0da9b41bbd128582d3f38d5b63eb83e3	b085b2e1b34a6df81a8d9ab33c0dcd414bfccbeb	primary_window	contaminated	new_valid	False	1	risky	risky	488	139	403	44		changed_since_prev=false yet 44 files / 542 lines changed: proven contamination from the Inc6 branch's batch merge landing in this window, not a round 2->3 fix
workflow-driver|work_review|workflow-driver-stage1#1	workflow-driver	work_review	workflow-driver-stage1	135	136	89404e8474c6ca353f35d12350e106406fe81bfe	36119238709bf0d7444558c16e3776286539c7ac	primary_window	unresolved_empty_window	new_valid	True	1	risky	risky	0	0	0	0		fix expected (changed_since_prev=true) but window diff is empty: real fix landed outside [round K commit, round K+1 commit]
workflow-driver|work_review|workflow-driver-stage1#1	workflow-driver	work_review	workflow-driver-stage1	136	137	36119238709bf0d7444558c16e3776286539c7ac	4fee24367cdd32ffabd57c3eba1622cef4a2cc26	primary_window	unresolved_empty_window	clean	True	0	risky	risky	0	0	0	0		fix expected (changed_since_prev=true) but window diff is empty: real fix landed outside [round K commit, round K+1 commit]
workflow-driver|work_review|workflow-driver-stage1#1	workflow-driver	work_review	workflow-driver-stage1	137	138	4fee24367cdd32ffabd57c3eba1622cef4a2cc26	38a39c05fdbea9f59623b8b895e7b9fd80ddda52	primary_window	resolved_no_fix_needed	clean	False	0	risky	risky	0	0	0	0		changed_since_prev=false and window diff empty: consistent, no fix pass expected
task-entry-regrounding|work_review|task-entry-regrounding-inc1#1	task-entry-regrounding	work_review	task-entry-regrounding-inc1	139	140	9b1ea515ce6ac1337bcda7c913d0f6f72d415b9b	2ace2d78a0b0b368bb0e16449836f67b6422a48d	primary_window	unresolved_empty_window	clean	True	0	low_risk	low_risk	0	0	0	0		fix expected (changed_since_prev=true) but window diff is empty: real fix landed outside [round K commit, round K+1 commit]
task-entry-regrounding|work_review|task-entry-regrounding-inc2#1	task-entry-regrounding	work_review	task-entry-regrounding-inc2	141	142	7d8702cb675b73a8269934dc3f5890a50db6edf2	5f73cc9175b9fa9ed820974a54fdc7890ed2fdc4	primary_window	unresolved_empty_window	clean	True	0	risky	risky	0	0	0	0		fix expected (changed_since_prev=true) but window diff is empty: real fix landed outside [round K commit, round K+1 commit]
task-entry-regrounding|work_review|task-entry-regrounding-inc2#1	task-entry-regrounding	work_review	task-entry-regrounding-inc2	142	143	5f73cc9175b9fa9ed820974a54fdc7890ed2fdc4	6e3c73aa1db352df27f3758c295ec6ad06867459	primary_window	resolved_no_fix_needed	clean	False	0	risky	risky	0	0	0	0		changed_since_prev=false and window diff empty: consistent, no fix pass expected
